date,bank_name,account_number,sort_code,description,amount
2007-04-01,Placeholder Bank,07901903,24-00-62,TR Account transaction,-23.86 GBP
2007-04-02,Placeholder Bank,07901903,24-00-62,TR Account transaction,-24.71 GBP
2007-04-03,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-13.89 GBP
2007-04-03,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-19.07 GBP
2007-04-03,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-19.98 GBP
2007-04-04,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-24.01 GBP
2007-04-04,Placeholder Bank,07901903,24-00-62,TR Debit transaction,-19.75 GBP
2007-04-04,Placeholder Bank,07901903,24-00-62,TR Account transaction,22.83 GBP
2007-04-05,Placeholder Bank,07901903,24-00-62,DR Account transaction,-20.86 GBP
2007-04-05,Placeholder Bank,07901903,24-00-62,TR Debit transaction,-25.04 GBP
2007-04-06,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-24.91 GBP
2007-04-07,Placeholder Bank,07901903,24-00-62,CR Account transaction,20.19 GBP
2007-04-07,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-22.23 GBP
2007-04-08,Placeholder Bank,07901903,24-00-62,CR Account transaction,24.59 GBP
2007-04-09,Placeholder Bank,07901903,24-00-62,CR Account transaction,19.15 GBP
2007-04-09,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-21.05 GBP
2007-04-09,Placeholder Bank,07901903,24-00-62,CR Account transaction,22.88 GBP
2007-04-11,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-21.16 GBP
2007-04-11,Placeholder Bank,07901903,24-00-62,TR Credit transaction,14.06 GBP
2007-04-11,Placeholder Bank,07901903,24-00-62,DR Account transaction,-18.47 GBP
2007-04-12,Placeholder Bank,07901903,24-00-62,TR Debit transaction,-19.55 GBP
2007-04-13,Placeholder Bank,07901903,24-00-62,CR Account transaction,24.46 GBP
2007-04-13,Placeholder Bank,07901903,24-00-62,TR Credit transaction,17.83 GBP
2007-04-14,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-25.96 GBP
2007-04-14,Placeholder Bank,07901903,24-00-62,TR Account transaction,16.63 GBP
2007-04-17,Placeholder Bank,07901903,24-00-62,TR Account transaction,25.53 GBP
2007-04-17,Placeholder Bank,07901903,24-00-62,CR Credit transaction,17.74 GBP
2007-04-18,Placeholder Bank,07901903,24-00-62,TR Credit transaction,12.76 GBP
2007-04-19,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-26.73 GBP
2007-04-19,Placeholder Bank,07901903,24-00-62,TR Account transaction,-21.69 GBP
2007-04-20,Placeholder Bank,07901903,24-00-62,TR Credit transaction,21.82 GBP
2007-04-22,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-23.36 GBP
2007-04-22,Placeholder Bank,07901903,24-00-62,CR Account transaction,18.27 GBP
2007-04-23,Placeholder Bank,07901903,24-00-62,DR Debit transaction,-20.79 GBP
2007-04-23,Placeholder Bank,07901903,24-00-62,TR Account transaction,-16.24 GBP
2007-04-23,Placeholder Bank,07901903,24-00-62,CR Account transaction,10.07 GBP
2007-04-27,Placeholder Bank,07901903,24-00-62,CR Account transaction,20.36 GBP
2007-04-27,Placeholder Bank,07901903,24-00-62,TR Debit transaction,-21.18 GBP
2007-04-28,Placeholder Bank,07901903,24-00-62,DR Account transaction,-16.30 GBP
