transaction_date,bank_account_name,account_id,branch_code,transaction_description,deposits,debits
2021-10-01,Brie BS,98698231,82-20-19,TRF Outgoing payment,<NA> GBP,88.64 GBP
2021-10-02,Brie BS,98698231,82-20-19,ACH Account transfer,<NA> GBP,19.65 GBP
2021-10-03,Brie BS,98698231,82-20-19,CHK Incoming payment,22.98 GBP,<NA> GBP
2021-10-03,Brie BS,98698231,82-20-19,EFT Bank transaction,92.17 GBP,<NA> GBP
2021-10-03,Brie BS,98698231,82-20-19,CHK Debit from account,<NA> GBP,6.19 GBP
2021-10-04,Brie BS,98698231,82-20-19,TRF Credit received,2.85 GBP,<NA> GBP
2021-10-04,Brie BS,98698231,82-20-19,TFR Credit received,17.08 GBP,<NA> GBP
2021-10-05,Brie BS,98698231,82-20-19,EFT Outgoing payment,<NA> GBP,18.41 GBP
2021-10-06,Brie BS,98698231,82-20-19,ACH Bank transaction,14.23 GBP,<NA> GBP
2021-10-07,Brie BS,98698231,82-20-19,CHK Account transfer,19.37 GBP,<NA> GBP
2021-10-08,Brie BS,98698231,82-20-19,TRF Bank transaction,<NA> GBP,10.84 GBP
2021-10-10,Brie BS,98698231,82-20-19,TRF Card or account payment,<NA> GBP,19.51 GBP
2021-10-11,Brie BS,98698231,82-20-19,EFT Incoming payment,18.15 GBP,<NA> GBP
2021-10-12,Brie BS,98698231,82-20-19,EFT Bank transaction,6.02 GBP,<NA> GBP
2021-10-12,Brie BS,98698231,82-20-19,CHK Bank transaction,26.70 GBP,<NA> GBP
2021-10-12,Brie BS,98698231,82-20-19,TFR Incoming payment,17.76 GBP,<NA> GBP
2021-10-12,Brie BS,98698231,82-20-19,EFT Deposit to account,29.27 GBP,<NA> GBP
2021-10-13,Brie BS,98698231,82-20-19,EFT Incoming payment,15.24 GBP,<NA> GBP
2021-10-14,Brie BS,98698231,82-20-19,TFR Credit received,31.64 GBP,<NA> GBP
2021-10-15,Brie BS,98698231,82-20-19,ACH Debit from account,<NA> GBP,21.29 GBP
2021-10-15,Brie BS,98698231,82-20-19,CHK Incoming payment,16.31 GBP,<NA> GBP
2021-10-15,Brie BS,98698231,82-20-19,ACH Incoming payment,19.17 GBP,<NA> GBP
2021-10-16,Brie BS,98698231,82-20-19,TFR Deposit to account,17.38 GBP,<NA> GBP
2021-10-20,Brie BS,98698231,82-20-19,CHK Account transfer,15.75 GBP,<NA> GBP
2021-10-21,Brie BS,98698231,82-20-19,TFR Bank transaction,17.13 GBP,<NA> GBP
2021-10-23,Brie BS,98698231,82-20-19,TRF Account transfer,14.09 GBP,<NA> GBP
2021-10-23,Brie BS,98698231,82-20-19,TFR Account transfer,<NA> GBP,25.19 GBP
2021-10-24,Brie BS,98698231,82-20-19,EFT Bank transaction,21.67 GBP,<NA> GBP
2021-10-27,Brie BS,98698231,82-20-19,CHK Bank transaction,<NA> GBP,12.47 GBP
2021-10-31,Brie BS,98698231,82-20-19,TRF Account transfer,<NA> GBP,21.58 GBP
2021-10-31,Brie BS,98698231,82-20-19,TRF Incoming payment,25.62 GBP,<NA> GBP
