date,description,amount,running_balance,currency,bank_name,account_number,sort_code,account_name
2024-01-31,SAVINGS INTEREST,0.29,1718.27,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-02-27,TRANSFER FROM CURRENT,563.01,2281.28,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-02-29,SAVINGS INTEREST,0.29,2281.57,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-03-31,SAVINGS INTEREST,0.29,2281.86,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-04-27,TRANSFER FROM CURRENT,495.83,2777.69,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-04-30,SAVINGS INTEREST,0.29,2777.98,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-05-31,SAVINGS INTEREST,0.29,2778.27,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-06-27,TRANSFER FROM CURRENT,436.0,3214.27,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-06-30,SAVINGS INTEREST,0.29,3214.56,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-07-27,TRANSFER FROM CURRENT,365.14,3579.7,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-07-31,SAVINGS INTEREST,0.29,3579.99,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-08-27,TRANSFER FROM CURRENT,617.93,4197.92,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-08-31,SAVINGS INTEREST,0.29,4198.21,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-09-30,SAVINGS INTEREST,0.29,4198.5,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-10-27,TRANSFER FROM CURRENT,416.09,4614.59,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-10-31,SAVINGS INTEREST,0.29,4614.88,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-11-27,TRANSFER FROM CURRENT,517.73,5132.61,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-11-30,SAVINGS INTEREST,0.29,5132.9,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-12-27,TRANSFER FROM CURRENT,349.35,5482.25,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2024-12-31,SAVINGS INTEREST,0.29,5482.54,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-01-31,SAVINGS INTEREST,0.29,5482.83,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-02-27,TRANSFER FROM CURRENT,522.2,6005.03,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-02-28,SAVINGS INTEREST,0.29,6005.32,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-03-27,TRANSFER FROM CURRENT,560.31,6565.63,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-03-31,SAVINGS INTEREST,0.29,6565.92,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-04-27,TRANSFER FROM CURRENT,533.58,7099.5,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-04-30,SAVINGS INTEREST,0.29,7099.79,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-05-31,SAVINGS INTEREST,0.29,7100.08,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-06-30,SAVINGS INTEREST,0.29,7100.37,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-07-31,SAVINGS INTEREST,0.29,7100.66,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-08-27,TRANSFER FROM CURRENT,461.28,7561.94,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-08-31,SAVINGS INTEREST,0.29,7562.23,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
