date,description,amount,running_balance,currency,bank_name,account_number,sort_code,account_name
2024-01-01,HOME RENT PAYMENT,-713.99,2025.07,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-01,SAINSBURY STORE,-51.19,1973.88,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-01,TFL BUS JOURNEY,-1.75,1972.13,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-01,TFL BUS JOURNEY,-1.75,1970.38,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-02,TFL BUS JOURNEY,-1.75,1968.63,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-02,TFL BUS JOURNEY,-1.75,1966.88,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-03,FREELANCE CREDIT,202.7,2169.58,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-03,TESCO SUPERMARKET,-25.24,2144.34,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-03,TFL RAIL TRAVEL,-4.6,2139.74,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-05,TFL BUS JOURNEY,-1.75,2137.99,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-05,TFL BUS JOURNEY,-1.75,2136.24,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-07,NIMO ENERGY,-78.7,2057.54,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-07,DELIVEROO TAKEAWAY,-22.33,2035.21,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-07,CITY TAXI,-12.15,2023.06,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-08,CONTRACT PAY,765.59,2788.65,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-09,GYM MEMBERSHIP,-30.0,2758.65,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-09,TFL BUS JOURNEY,-1.75,2756.9,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-09,TFL BUS JOURNEY,-1.75,2755.15,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-10,VIDEO STREAMING,-7.99,2747.16,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-12,CITY DEPARTMENT STORE,-52.71,2694.45,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-13,CITY TAXI,-41.23,2653.22,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-14,ALDI GROCERIES,-25.77,2627.45,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-14,DELIVEROO TAKEAWAY,-19.33,2608.12,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-14,NEIGHBOURHOOD PUB,-41.73,2566.39,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-15,CITY WATER,-33.37,2533.02,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-15,TFL BUS JOURNEY,-1.75,2531.27,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-15,TFL BUS JOURNEY,-1.75,2529.52,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-16,FREELANCE CREDIT,643.69,3173.21,GBP,NIMOB,46110026,93-86-07,Main Current Account
